iter	Logloss
0	0.623385433
1	0.6044092961
2	0.5498742399
3	0.5202685937
4	0.5098265333
5	0.5002137503
6	0.4694767566
7	0.435815645
8	0.4251753229
9	0.3901124223
10	0.3705549447
11	0.3659946499
12	0.3601286582
13	0.3388797563
14	0.3164531507
15	0.3004226516
16	0.2977329272
17	0.2810339887
18	0.2672404987
19	0.2573669232
20	0.2538898116
21	0.2520239806
22	0.2492432674
23	0.2412805854
24	0.2328363969
25	0.2312819983
26	0.228012953
27	0.220919451
28	0.2156987051
29	0.2118647129
30	0.209377233
31	0.2037367096
32	0.1985984486
33	0.1961240574
34	0.1918159639
35	0.1890411323
36	0.1851581801
37	0.1845608867
38	0.1822133287
39	0.1814574498
40	0.1783302324
41	0.1751537911
42	0.173617883
43	0.1731113927
44	0.1720448592
45	0.1702384782
46	0.168716898
47	0.166747297
48	0.1644338903
49	0.1630286794
50	0.1610145202
51	0.1591370076
52	0.1579513167
53	0.1572681983
54	0.1556917341
55	0.1540899329
56	0.1532561582
57	0.1524794423
58	0.1511481013
59	0.1506585211
60	0.14924388
61	0.1480205895
62	0.1472744501
63	0.1464163756
64	0.1461165095
65	0.1455615301
66	0.1452753895
67	0.1448465035
68	0.1438503597
69	0.1430694098
70	0.1428072497
71	0.1425594862
72	0.1416591578
73	0.141353154
74	0.1410971497
75	0.1408920574
76	0.1405354835
77	0.1402873039
78	0.1396366638
79	0.1390017551
80	0.1388014254
81	0.1384006915
82	0.138223064
83	0.1380022857
84	0.1376187901
85	0.1368015295
86	0.1364596485
87	0.1361721852
88	0.1358253883
89	0.1356204992
90	0.1352532669
91	0.1349986333
92	0.1348341525
93	0.1345858326
94	0.134306761
95	0.1341156975
96	0.1339629446
97	0.1338383952
98	0.1336870227
99	0.1335611799
100	0.1333948062
101	0.1332936271
102	0.1331694133
103	0.132904526
104	0.13275375
105	0.1326443174
106	0.1324728026
107	0.1321956309
108	0.1321040916
109	0.1319728559
110	0.1318513646
111	0.1317035344
112	0.1315864157
113	0.1314602857
114	0.1312934034
115	0.1311830452
116	0.1311014227
117	0.1309642413
118	0.1308435886
119	0.1307442322
120	0.1306686054
121	0.1305587695
122	0.1304367418
123	0.1303313638
124	0.1302165729
125	0.130188533
126	0.1301188048
127	0.1299930139
128	0.1299144989
129	0.1296620167
130	0.1295610183
131	0.1294760561
132	0.1294048974
133	0.1292502014
134	0.1291540098
135	0.1290916628
136	0.1289921743
137	0.1289295737
138	0.1288662708
139	0.1287582137
140	0.1286940929
141	0.1285758524
142	0.1281831005
143	0.1281254195
144	0.1280436252
145	0.12789582
146	0.1277959702
147	0.1277246388
148	0.1276632192
149	0.1275635461
150	0.1274926005
151	0.1274203808
152	0.1273371396
153	0.1272149761
154	0.1271418979
155	0.1270336189
156	0.1269619904
157	0.1268934644
158	0.1268080836
159	0.1267150219
160	0.1266416337
161	0.1265936211
162	0.1265331643
163	0.1264648246
164	0.1263682241
165	0.1263127882
166	0.1262181811
167	0.1260903196
168	0.1260476234
169	0.1259929426
170	0.1259081123
171	0.1258478358
172	0.1257906467
173	0.1257363365
174	0.1256565572
175	0.1255248237
176	0.1254650703
177	0.1254136801
178	0.1253221871
179	0.1252517392
180	0.1251256182
181	0.1250653217
182	0.1249780699
183	0.124909243
184	0.1248166592
185	0.1247308931
186	0.1245353636
187	0.1244334047
188	0.1242459826
189	0.124181017
190	0.124090008
191	0.1240280746
192	0.1238961744
193	0.123832041
194	0.1237527408
195	0.1236560232
196	0.1235569624
197	0.1234520923
198	0.1233763752
199	0.1233133231
200	0.1232290186
201	0.1231132433
202	0.1230186683
203	0.1229585018
204	0.1229093431
205	0.1228155428
206	0.1227467604
207	0.1226681338
208	0.1226060289
209	0.122567851
210	0.1225087296
211	0.1224557212
212	0.1224167593
213	0.1223517837
214	0.1222997709
215	0.1222281857
216	0.1221764311
217	0.1221118589
218	0.1220312605
219	0.1219620955
220	0.1218916578
221	0.1218096347
222	0.1216967075
223	0.1216482345
224	0.1215699253
225	0.1214833121
226	0.1214238615
227	0.1213314694
228	0.1213181443
229	0.1212714484
230	0.121220208
231	0.1211467247
232	0.121097589
233	0.1210234683
234	0.1209099318
235	0.1208347732
236	0.1207661925
237	0.1206778487
238	0.1206026632
239	0.1205580838
240	0.1204891395
241	0.1204482288
242	0.1203008097
243	0.1202096032
244	0.1201505299
245	0.1201188832
246	0.1200284624
247	0.1199880214
248	0.1199505818
249	0.1198649269
250	0.1197963343
251	0.1197289078
252	0.1196351306
253	0.1195554474
254	0.1195043234
255	0.1194181851
256	0.1193376059
257	0.1192135966
258	0.1191798657
259	0.1191492611
260	0.1190854811
261	0.119006987
262	0.1189540784
263	0.1189025085
264	0.1188663251
265	0.1187772007
266	0.1187182025
267	0.1186685118
268	0.1185997596
269	0.1185379685
270	0.1184675571
271	0.1183846866
272	0.1183112732
273	0.1182262408
274	0.118177846
275	0.1181240958
276	0.1180847256
277	0.1180415595
278	0.1179777642
279	0.1178889674
280	0.117831177
281	0.1177761479
282	0.1176863878
283	0.1176479327
284	0.1175323832
285	0.117498123
286	0.1174530071
287	0.1174046344
288	0.1173960181
289	0.1173242327
290	0.1172627365
291	0.1172162785
292	0.1171250812
293	0.1170889385
294	0.1170448957
295	0.1170146789
296	0.1169458473
297	0.1169005364
298	0.116854591
299	0.1168135576
300	0.116746835
301	0.1166823448
302	0.1166338833
303	0.1165981111
304	0.1165526261
305	0.1165085469
306	0.1164402544
307	0.1163555336
308	0.1163140741
309	0.1161427076
310	0.1160775681
311	0.1160105554
312	0.1159490441
313	0.115874608
314	0.11584607
315	0.115807408
316	0.1157473207
317	0.1156735394
318	0.1156138121
319	0.1155483333
320	0.1155069506
321	0.1154478416
322	0.1153790233
323	0.1153486493
324	0.1153168746
325	0.1152646815
326	0.1152106618
327	0.1151634879
328	0.1151010437
329	0.115057647
330	0.1150098582
331	0.1149307234
332	0.1148878715
333	0.1148282478
334	0.1147610864
335	0.1147026156
336	0.1146628282
337	0.1146105282
338	0.1145470088
339	0.1144819758
340	0.1144308029
341	0.1143564016
342	0.1143186594
343	0.1142561287
344	0.1142108129
345	0.1141610995
346	0.1141015023
347	0.1140602099
348	0.114015944
349	0.1139611016
350	0.113836865
351	0.1137637413
352	0.1137033998
353	0.1136559692
354	0.1136022791
355	0.1135689185
356	0.1134998046
357	0.1134504011
358	0.1134098656
359	0.1133372746
360	0.1132564924
361	0.1131997631
362	0.113143385
363	0.1130520387
364	0.112982096
365	0.1129471851
366	0.1129095466
367	0.1128585503
368	0.1128089917
369	0.1127640888
370	0.1127118924
371	0.1126583417
372	0.1126082365
373	0.1125519646
374	0.1125037021
375	0.1124525183
376	0.1124157363
377	0.112363023
378	0.1123083076
379	0.1122751928
380	0.1122243484
381	0.1121756122
382	0.1121168105
383	0.1120380112
384	0.1119788629
385	0.1119299511
386	0.1118847221
387	0.1118138536
388	0.1117606234
389	0.1116927278
390	0.1116486308
391	0.1116009403
392	0.1115267229
393	0.1114734318
394	0.1113989644
395	0.1113401293
396	0.1112748644
397	0.1112381948
398	0.1111894962
399	0.1111456064
400	0.1111065457
401	0.1110319962
402	0.1109735917
403	0.1109276836
404	0.1108805378
405	0.1108377711
406	0.110791664
407	0.1107266716
408	0.1106846364
409	0.110646327
410	0.1106003881
411	0.1105524706
412	0.1105181216
413	0.1104641859
414	0.1104062408
415	0.1103637248
416	0.1103261893
417	0.1102854044
418	0.1102374904
419	0.1101861609
420	0.1101557813
421	0.1101161259
422	0.110060317
423	0.1100371664
424	0.1099930299
425	0.1099533157
426	0.109914287
427	0.1098514118
428	0.1096786873
429	0.1096307241
430	0.1095938316
431	0.1095290927
432	0.109489093
433	0.1094349768
434	0.1093849294
435	0.1093219617
436	0.1092881559
437	0.1092416004
438	0.1092048259
439	0.1091555471
440	0.109096172
441	0.1090658054
442	0.109018962
443	0.1089856964
444	0.1089328899
445	0.1088952908
446	0.1088518584
447	0.1088112328
448	0.1087742262
449	0.1087391894
450	0.1086977168
451	0.1086456823
452	0.1085813422
453	0.1085187983
454	0.108471784
455	0.1084137925
456	0.1083827925
457	0.108333456
458	0.1082888946
459	0.1082284546
460	0.1081657778
461	0.1081283621
462	0.1081016584
463	0.1080542405
464	0.1080020474
465	0.1079504422
466	0.1079223509
467	0.1078834247
468	0.1078386537
469	0.1077866345
470	0.1077305809
471	0.1076828276
472	0.1076129147
473	0.1075627679
474	0.1075254596
475	0.1074857168
476	0.107446664
477	0.1073997084
478	0.1073427587
479	0.1072842023
480	0.1072355476
481	0.1071891194
482	0.1071623882
483	0.1071226861
484	0.1070762035
485	0.1070458186
486	0.1070047499
487	0.1069787956
488	0.1069492133
489	0.1068975899
490	0.1068628481
491	0.1068168003
492	0.1067695329
493	0.1067309269
494	0.1066724724
495	0.1066307642
496	0.1065971309
497	0.1065563909
498	0.1065281043
499	0.106482291
